,Lab Name,City,State,Lab Location,Phone Number,Contact,Email
0,"Accelerated Analytical Labs, Inc. ",Milwaukee            ,Wisconsin            ,"9075 W. Heather Ave.Milwaukee,WI53224,United States",(414) 409-3887,Paul Lillyroot,plillyroot@acceleratedlabs.com
1,Accelerated Cannabis Testing (ACT) ,Milwaukee            ,Wisconsin            ,"9075 W. Heather Ave.Milwaukee,WI53224,United States",(414) 409-3887,Paul Lillyroot,plillyroot@acceleratedlabs.com
2,AccuScience Laboratories ,Eustis            ,Florida            ,"40 S Dewey StreetEustis,FL34726,United States",407-342-5755,"Dr. Harry Behzadi, Ph.D., President/CEO",hbehzadi@accusciencelabs.com
3,ACS Laboratory LLC ,Sun City Center            ,Florida            ,"721 Cortaro Drive Sun City Center,FL33573,United States",8136344529 ext.317,Yasmin Lee,ylee@acslabcannabis.com
4,Agrozen Laboratory ,Lebanon            ,Indiana            ,"417 Ransdell RoadLebanon,IN46052,United States",844-655-6935,"Brian Schroeder, CEO",lab@agrozen.com
5,"Alkemists Pharmaceuticals, DBA Alkemist Labs ",Garden Grove            ,California            ,"12661 Hoover St.Garden Grove,CA92841,United States",(714) 754-4372,Elan Sudberg,Elan@alkemist.com
6,"Americanna Laboratories, Inc. ",Jacksonville            ,Florida            ,"11757 Central ParkwayJacksonville,FL32224,United States",(904) 549-5948,Steve Perez,sperez@americannalab.com
7,"Analytical Food Laboratories, Inc.  ",Grand Prairie            ,Texas            ,"860 Greenview Drive Grand Prairie,TX75050,United States",(972) 336-0336,Tiffany Williams,Tiffany@afltexas.com
8,Analytical Resource Laboratories ,Lehi            ,Utah            ,"520 South 850 East, Suite B3Lehi,UT84043,United States",(801) 847-7722,Jacob Teller,info@yourqualitylab.com
9,Anresco Laboratories ,San Francisco            ,California            ,"1375 Van Dyke Avenue San Francisco,CA94124,United States",(415) 822-1100,Amanda Eisenberg,compliance@anresco.com
10,"Armstrong Forensic Laboratory, Inc. ",Arlington            ,Texas            ,"330 Loch N. Green TrailArlington,TX76012,United States",(817) 275-2691,Ben Armstrong,AFLab@AFlab.com
11,"Assurance Laboratories, LLC  ",West Milwaukee            ,Wisconsin            ,"1630 Miller Park WayWest Milwaukee,WI53214,United States",(414) 386-3795,Tim Barta,info@verdasure.com
12,"Avazyme, Inc. ",Durham            ,North Carolina            ,"2202 Ellis Road, Suite ADurham,NC27703,United States",(919) 604-4571,Suzanne Bornemann,Suzanne.Bornemann@Avazyme.Com
13,Biopharmaceutical Research Company ,Castroville            ,California            ,"11045 Commercial ParkwayCastroville,CA95012,United States",(831) 632-0913,Brian Brandley,admin@biopharmaresearchco.com
14,"Biotrax Testing Laboratory, Inc. ",Cheektowaga            ,New York            ,"3580 Harlem RoadCheektowaga,NY14215,United States",716-651-0146,"Edward Lukaszek, CEO",edward@biotrax.net
15,Cannabis ChemLab ,Flandreau            ,South Dakota            ,"48598 234th StreetFlandreau,SD57028,United States",605-900-6605 ,"Matt Jorgenson, CEO",information@cannabischemlab.com
16,"CannaBusiness Laboratories, LLC ",Lexington            ,Kentucky            ,"2554 Palumbo DriveLexington,KY40509,United States",(859) 514-6999,Melanie Howard ,info@cannabusinesslabs.us
17,"ChRi Laboratories, Inc. ",St. Paul            ,Minnesota            ,"1000 Westgate Drive, Suite 40St. Paul,MN55114,United States",(651) 641-2847,"Henry Larmie, PhD",henry.larmie@chrilabs.com
18,"Clearwater Biotech, LLC ",Greenville            ,South Carolina            ,"1327 Miller Road, Suite GGreenville,SC29607,United States",864-679-1514,Jay Flanagan,JFlanagan@ClearwaterBioTech.com
19,Contract Pharmacal Corp ,Hauppauge            ,New York            ,"135 Adams Avenue Hauppauge,NY11788,United States",(631) 231-4610x3403 ,Kevin Nguyen,kevin.nguyen@cpc.com
20,Custom Analytics ,Dalzell            ,South Carolina            ,"3789 Thomas Sumter HighwayDalzell,SC29040,United States",803-499-4469,Charles Metcalfe,charlie@calabs.us
21,"DB Science, LLC ",Fayetteville            ,Arkansas            ,"3481 N Hwy 112Fayetteville,AR72704,United States","479-443-9148 ext. 1109, Fax Number: 479-935-4235","Dr. Kurt Doege, Laboratory Director",kurt@dbscience-nwa.com
22,Delta 9 Analytical ,Raleigh            ,North Carolina            ,"6308 Angus DriveRaleigh,NC27617,United States",919-410-9580,"Michael Horton, Chief Strategy Officer",michael@delta9analytical.com
23,"Delta9 Scientific, LLC ",Richmond            ,Virginia            ,"601 Biotech Dr.Richmond,VA23235,United States", (804) 836-3183,Rebecca Caffrey,rebecca@delta9scientific.com
24,Drug Detection Laboratory ,Sacramento            ,California            ,"9700 Business Park Drive, Suite 407Sacramento,CA95827,United States",(916) 366-3113,Minh Tran,drugdetectionlab@yahoo.com
25,"ElSohly Laboratories, Inc. ",Oxford            ,Mississippi            ,"5 Industrial Park DriveOxford,MS38655,United States",662-234-0253,"Mahmoud ElSohly, Laboratory Director",elsohly@elsohly.com
26,En-Cas Laboratories ,Winston-Salem            ,North Carolina            ,"2359 Farrington Point DriveWinston-Salem,NC27107,United States",336-785-3252,"Timothy Ballard, President",tballard@en-cas.com
27,"Eurofins Food Testing Chemistry Madison, Inc. ",Madison            ,Wisconsin            ,"6304 Ronald Reagan AvenueMadison,WI53704,United States",262-409-8773,Vanessa Snyder ,vanessasnyder@eurofinsus.com
28,"Eurofins QTA, Inc. ",West Chester            ,Ohio            ,"8900 Beckett RoadWest Chester,OH45069,United States",866-968-7782,Kangming Ma,qta@eurofinsus.com
