,ID,Name,Col-3,Col-4,Phn No,Col-6
0,# 103460,Adams,Rocky Mountain Herbal Farms,2140 Country Club Parkway,9702151771,Milliken Colorado 80543
1,# 103480,Adams,"Phamily Farm Production, LLC",16590 Watkins Road,720-926-6568,Brighton Colorado 80601
2,# 103519,Adams,Hammer Enterprises I.S.,57700 E. 24th Ave.,415-941-1283,Strasburg Colorado 80136
3,# 103526,Adams,Kinh Pham,1979 S. Lake Rd,720-226-6059,Lakewood Colorado 80227
4,# 103538,Adams,Berserker Holdings LLC,6565 Vine Court,720573-4801,Denver Colorado 80229
5,# 103559,Adams,Greengroves LLC,15665 Havana Way,720-232-4989,Brighton Colorado 80602
6,# 103572,Adams,Rocky Mountain Herbal Farms,2140 Country Club Parkway,9702151771,Milliken Colorado 80543
7,# 103623,Adams,Haleigh's Hope Inc,PO Box 24,303-842-0179,Fairplay Colorado 80440
8,# 103630,Adams,"Agros, LLC",PO Box 427,3033224116,Brighton Colorado 80601
9,# 103682,Adams,"CSS Consulting, LLC","5023 W 120th Ave, #120",720-837-5947,Broomfield Colorado 80023
10,# 103716,Adams,"C.F.H., Ltd","350 Terry St, Suite 150",610-906-0259,Longmont Colorado 80510
11,# 103739,Adams,GOOD FATE LLC,7756 S Joplin Ct,3037045534,Englewood Colorado 80112
12,# 103771,Adams,Micah Town,7380 Schumaker Road,7202311149,Bennett Colorado 80102
13,# 103813,Adams,DENVER TAI HONG LLC,16295 E Geddes Pl,3037045534,Centennial Colorado 80016
14,# 103835,Adams,Leader Organics Inc.,13975 Mimosa Rd,3035145709,Byers Colorado 80103
15,# 103902,Adams,"Juleah, LLC",3879 E 120th Ave #301,561-324-8466,Thornton Colorado 80233
16,# 103911,Adams,Arkansas Valley Farms L.L.C.,11700 E 160th Ave,303-995-8314,Brighton Colorado 80602
17,# 103938,Adams,"Mile High Organics, LLC",7830 West Alameda Ave,303-828-8642,Lakewood Colorado 80226
18,# 103944,Adams,"Willoughby Farms, LLC",9460 N Manilla Rd,402-206-9692,Bennett Colorado 80102
19,# 103951,Adams,"Berserker Holdings, LLC",6565 Vine Court,,Denver Colorado 80229
20,# 103972,Adams,Connor Kloepfer,1435 County Road 16 1/2,7202542153,LONGMONT Colorado 80504
21,# 103985,Adams,"Drallibor Hemp Co., LLC",9580 East 160th Avenue,303-665-5828,Brighton Colorado 80602
22,# 104007,Adams,"Phamily Farm, LLC",8578 E 50th Ave,7209266568,Denver Colorado 80238
23,# 103551,Alamosa,Cloud CO. Farms LLC,PO Box 681,719-722-4422,Alamosa Colorado 81101
24,# 103552,Alamosa,Cloud CO Farms LLC,PO Box 681,719-722-4422,Alamosa Colorado 81101
25,# 103667,Alamosa,BryFaH Inc,1370 S Depew St,720-628-4330,Lakewood Colorado 80232
26,# 103788,Alamosa,Leafusion LLC,5066 County Road 112,,Mosca Colorado 81146
27,# 103815,Alamosa,Green Acres Hemp Farm,6344 county road 116 south,719-206-4367,alamosa Colorado 81101
28,# 103852,Alamosa,Apis Domum Farm LLC,1950 Chambers Rd,3035693022,Aurora Colorado 80011
29,# 103659,Arapahoe,Colomeadow Farms LLC,64001 Old US Hwy 40,303-822-5800,Byers Colorado 80103
30,# 103660,Arapahoe,Colomeadow Farms LLC,64001 Old US Hwy 40,303-822-5800,Byers Colorado 80103
31,# 103966,Arapahoe,la ferme colorado llc,2443 south oakland circle,2054216196,aurora Colorado 80014
32,# 103997,Arapahoe,Vigeo Construction and Consulting,1420 Ulster St,970-445-2616,Denver Colorado 80220
33,# 103631,Archuleta,Kerrigan Farms L.L.C.,3531 CR 973,9707691809,Ignacio Colorado 81137
34,# 103673,Archuleta,Ample Returns LLC,PO Box 1973,9708832551,Arboles Colorado 81121
35,# 103761,Archuleta,Kind Hemp Farms LLC,P.O. Box 1815,9708830015,Arboles Colorado 81121
36,# 103589,Baca,Justin Mundell,24491 CR 37.5,,Walsh Colorado 81090
37,# 103590,Baca,Justin Mundell,24491 CR 37.5,,Walsh Colorado 81090
38,# 103591,Baca,Justin Mundell,24491 CR 37.5,,Walsh Colorado 81090
39,# 103592,Baca,Justin Mundell,24491 CR 37.5,,Walsh Colorado 81090
40,# 103593,Baca,Justin Mundell,24491 CR 37.5,,Walsh Colorado 81090
41,# 103594,Baca,Justin Mundell,24491 CR 37.5,,Walsh Colorado 81090
42,# 103600,Baca,RCG Farms Inc,24491 CR 37.5,,Walsh Colorado 81090
43,# 103838,Baca,Justin Mundell,24491 CR 37.5,719-529-9305,Walsh Colorado 81090
44,# 103839,Baca,Justin Mundell,24491 CR 37.5,719-529-9305,Walsh Colorado 81090
45,# 103840,Baca,Justin Mundell,24491 CR 37.5,719-529-9305,Walsh Colorado 81090
46,# 103841,Baca,Justin Mundell,24491 CR 37.5,719-529-9305,Walsh Colorado 81090
47,# 103846,Baca,"LP Ind., LLC",23298 US Hwy 160,719-529-0758,Springfield Colorado 81073
48,# 103848,Baca,"CAG Holdings, LLC",23298 US Hwy 160,719-529-0758,Springfield Colorado 81073
49,# 103892,Baca,4 leaf clover farms llc,25336 CR. DD .5,719-353-1422,Springfield Colorado 81073
50,# 103921,Baca,"Rocky Mountain Hemp, Inc.",23256 US Highway 160,9705960723,Springfield Colorado 81073
51,# 103638,Bent,Cortez Hemp LLC,919 6th Street,7194686891,Las Animas Colorado 81054
52,# 103767,Bent,NAF Grow Company,"7991 Shaffer Parkway, Suite 200",7205606086,Littleton Colorado 80127
53,# 103491,Boulder,Hempward Farms LLC,2300 75th Street,303-589-0947,Boulder Colorado 80301
54,# 103507,Boulder,Vermillion Hill Farms,9202 Vermillion road,7202317170,Longmont Colorado 80503
55,# 103533,Boulder,"Buffalo Ventures, LLC",8187 Ouray Dr.,720-899-6514,Longmont Colorado 80503
56,# 103553,Boulder,Love R Hemp LLC,4130 Chippewa St,303-579-9630,Boulder Colorado 80303
57,# 103596,Boulder,Saint Vrain Research LLC,425 S Bowen St Unit 4,720-924-6147,Longmont Colorado 80501
58,# 103604,Boulder,North Field Farm,3535 Nyland Way,704-201-5853,Lafayette Colorado 80026
59,# 103607,Boulder,Proto Hemp Products LLC,"2000 South Colorado Blvd Tower One,",,Suite 2000
60,720-713-9925,Denver Colorado 80222,# 103620,Boulder,RJM LLC,PO Box 2694
61,970-380-4656,Lyons Colorado 80540,# 103657,Boulder,"Tree Cellar, LLC","300 Center Dr., Suite G188"
62,9542353777,Superior Colorado 80027,,,,
63,# 103669,Boulder,"HGH Seed, Inc.",11021 Yellowstone Road,808-392-0472,Longmont Colorado 80504
64,# 103702,Boulder,Wild Hills Ag Productions LLC,10771 N 49th St,716-860-3594,Longmont Colorado 80503
65,# 103749,Boulder,Drabbit Farms,PO Box 18074,3034197262,Boulder Colorado 80308
66,# 103768,Boulder,Hempz.inc,1900 55 st #105b,2396828182,Boulder Colorado 80301
67,# 103770,Boulder,"Knotweed Farms, LLC",7957 Arapahoe Rd,512-944-5216,boulder Colorado 80303
68,# 103772,Boulder,"Center Pivot Group, LLC",11021 Yellowstone Road,727-249-6725,Longmont Colorado 80504
69,# 103789,Boulder,Tindakan Innovations PBC,238 Sweet Valley Court,7203640972,Longmont Colorado 80501
70,# 103790,Boulder,One Heart Hemp Collective LLC,7751 WOODLAND RD,720-315-1075,LONGMONT Colorado 80503
71,# 103842,Boulder,The Rainforest LLC,PO Box 241,970-930-1568,Lyons Colorado 80540
72,# 103850,Boulder,Saint Vrain Research LLC,5926 Saint Vrain Rd,3038181008,Longmont Colorado 80503
73,# 103857,Boulder,Bud Brother Farms LLC,4336 63rd Street,7725380210,Boulder Colorado 80302
74,# 103865,Boulder,"HGH Seed, Inc.",11021 Yellowstone Road,808-392-0472,Longmont Colorado 80504
75,# 103906,Boulder,"Center Pivot Group, LLC",11021 Yellowstone Road,480-678-8089,Longmont Colorado 80504
76,# 103909,Boulder,Sunshine Canyon Hemp Company LLC,5220 Sunshine Canyon Drive,3034447141,Boulder Colorado 80302
