,Col1,Col2,Col3,Col4,Col5,Col6,Col7
0,NA,6508 Windmill Way Suite B,910-512-0658,HP 1107,Wilmington,NC,28405
1,01 Wachue Smoking LLC,1293 Landsdowne Dr,828-270-9148,HP 641,Conover,NC,28613
2,1 Hit Hemp LLC,6501 Albemarle Rd #25660,919-400-4138,HP 1142,Charlotte,NC,28229
3,1010 Extracts,1086 Rabbit Trail,704-813-5593,HP 377,Gastonia,NC,28052
4,111 Extraction Solutions,2808 Carriage Meadows Drive,,HP 362,Wake Forest,NC,27587
5,1st Tactical Holistics,3494 Nesbit Rd,240-446-0383,HP 776,Fayetteville,NC,28311
6,2 Rivers Farmacy,584 Salem Church Road,336-432-8844,HP 492,Reidsville,NC,27320
7,20/20 Hemp,103 Kluttz St,"704-781-5266,716-401-6807",HP 884,Locust,NC,28097
8,"2AG Remedy,LLC",92 Cornerstone Dr Ste 316,919-322-9192,HP 664,Cary,NC,27519
9,"2nd Chance Transplants, LLC",5004 Garland Highway,910-590-8471,HP 253,Clinton,NC,28328
10,3L Trading,215 Industrial Ave Suite L,714-501-5879,HP 399,Greensboro,NC,27406
11,4 C's Hemp,2550 Piney Grove Church Rd,252-809-3928,HP 1046,Williamston,NC,27892
12,40 Acre Cigars,2608 Hitchcock Drive,919-594-7301,HP 1102,Durham,NC,27705
13,420 Distillate & Isolate Company,150 N. Research Campus Drive Lab#3534,404-449-6295,HP 378,Kannapolis,NC,28081
14,5 Leaf NC,150 Gene Walker Road,"954-998-2719,305-384-8148",HP 794,Shelby,NC,28150
15,7 Points LLC,4041 Chimney Rock Road,305-767-9357,HP 1262,Hendersonville,NC,28792
16,7 Seeds Organics,3526 Harmony Hwy,980-379-0136,HP 1006,Harmony,NC,28634
17,710 Cosmetics,80 Old Log Rd.,863-582-6397,HP 12,Green Mountain,NC,28740
18,828 Alchemy LLC,104 Mountain Place,828-409-1827,HP 310,Hendersonville,NC,28791
19,9,143 Ogallalah Lane,336-880-7034,HP 545,Dudley,NC,27333
20,9 Leaf Ventures LLC,340 Hwy 67 Bypass,623-271-0384,HP 859,East Bend,NC,27018
21,A & O Organics,406 Uppowoc Ave,252-305-6668,HP 360,Manteo,NC,27954
22,A House of Hemp L.L.C.,235 Shepard Drive,910-853-1193,HP 465,Linden,NC,28536
23,A Sunshine Happy Day,7695 Walnut Cove Road,336-595-6032,HP 940,Walnut Cove,NC,27052
24,"A&R Glass Art, LLC",3801 Hillsborough St. ste 101,919-977-9481,HP 22,Raleigh,NC,27607
25,Aaron Laughrun,2224 Blowing Rock Rd,"828-284-5728,828-406-2243",HP 926,Boone,NC,28607
26,Aaron-Lee Aqua Farms,370 Oak Forest Dr.,704-450-6082,HP 574,Statesville,NC,28625
27,"Abaca Labs, Inc.",6114 Chilcot Lane,910-262-4895,HP 382,Wilmington,NC,28409
28,Abby's Angels Processing Inc,135 Ruth Ledford Rd,828-371-1336,HP 816,Franklin,NC,28734
29,Abolghasem Shahbazi,1601 E Market Street 107 Sockwell Hall,336-285-3830,HP 866,Greensboro,NC,27411
30,"Abundant Labs, LLC",289 Silkwood Drive,828-246-0428,HP 440,Canton,NC,28716
31,ACES,801 W Fieldcrest Rd,336-707-7336,HP 805,Eden,NC,27288
32,"Active Concepts, LLC",107 Technology Drive,704-998-1561,HP 441,Lincolnton,NC,28092
33,ADA International Beauty,4813 Sunset Forest Circle,410-522-8846,HP 856,Holly Springs,NC,27540
34,Adam Poindexter,378 Davis Rd,336-345-0740,HP 932,Clemmons,NC,27012
35,"Adapted Industries, Inc",11 Wyckoff St. Apt 5,919-805-0799,HP 471,Brooklyn,NY,11201
36,AFB Enterprise LLC,432 Sylvania Ave,704-626-8000,HP 342,Charlotte,NC,28206
37,Aggrist Inc.,129 South Main Street,919-264-2401,HP 14,Oakboro,NC,28129
38,"Agritiva, Inc",5181 Willow Valley Way,614-207-4467,HP 406,Powell,OH,43065
