,LegalName,Address,Mailing Address,Offsite Cultivation Address,Manufacture Address,Phone,Email,License,License Effective,License Expires,Owner / License,Services
0,101010 Management LLC,"253 Chase Creek St, Clifton, AZ 85533","253 Chase Creek St, Clifton, AZ 85533",NA,NA,(480) 652-3622,"
drphilwall@yahoo.com",00000139ESDD30084191,4/19/2021,4/18/2023,101010 Management LLC,NA
1,"203 Organix, Llc","123 E Merritt St, Prescott, AZ 86301","123 Merritt St, Prescott, AZ 86301",NA,NA,(928) 778-5900,"
cras@col-care.com",00000070ESCO78837103,1/22/2021,1/21/2023,203 Organix Llc,Retail - Sell
2,4245 Investments Llc,"330 E Southern Ave #37, Mesa, AZ 85210","5210 S Priest Dr, Guadalupe, AZ 85283",NA,NA,(480) 664-1470,"
compliance@brightroot.com",00000036ESXU42814428,1/22/2021,1/21/2023,4245 Investments Llc,Retail - Sell
3,46 Wellness Llc,"7105 E 22nd St, Tucson, AZ 85710","221 E 6th St Ste 105, Tucson, AZ 85705","78125 Salome Rd., Salome, AZ 85348",NA,(520) 214-3232,"
admin2@arizonadispense.com",00000128ESJI00619914,6/15/2021,3/3/2023,46 Wellness Llc,"Cultivation - Cultivate
Retail - Sell"
4,Abaca Inc.,"21035 N Cave Creek Rd Ste 3 & 4, Phoenix, AZ 85024","21035 N Cave Creek Rd Ste C5, Phoenix, AZ 85024",NA,NA,(602) 842-5790,"
michelleqwest@aim.com",00000116ESSM79524188,2/23/2021,2/22/2023,Abaca Llc,Retail - Sell
5,Abedon Saiz Llc,"1691 Industrial Blvd, Lake Havasu City, AZ 86404","1155 W Rio Salado Pkwy, Ste 201, Tempe, AZ 85281","143 N. Miami Drive, Miami, AZ 85539",NA,770-330-0831,"
compliance@trulieve.com",00000052ESLX15969554,1/22/2021,1/21/2023,Abedon Saiz Llc,"Cultivation - Cultivate
Retail - Sell"
6,Absolute Health Care Inc,"175 S Hamilton Pl Bldg 4 Ste 110, Gilbert, AZ 85233","175 S Hamilton Pl Bldg 4 Ste 110, Gilbert, AZ 85233",NA,NA,(480) 361-0078,"
absolutehealthcare@curaleaf.com",00000027ESMP88938972,1/22/2021,1/21/2023,Absolute Healthcare Inc,Retail - Sell
7,"Ad, Llc","2630 W Indian School Rd, Phoenix, AZ 85017","1155 W Rio Salado Pkwy Ste 201, Tempe, AZ 85281","12225 W Peoria Ave, Ste B, El Mirage, AZ 85385",NA,770-330-0831,"
compliance@trulieve.com",00000006ESWX56565424,1/22/2021,1/21/2023,"Ad, Llc","Cultivation - Cultivate
Retail - Sell"
8,AGI Management LLC,"60 W Main St, Quartzsite, AZ 85346","540 N Jasmine Way, Litchfield Park, AZ 85340",NA,NA,480-234-2343,"
jpham1099@yahoo.com",00000142ESIL74759395,4/19/2021,4/18/2023,AGI Management LLC,NA
9,All Greens Inc,"10032 W Bell Rd Ste 100, Sun City, AZ 85351","10032 W Bell Rd Ste 100, Sun City, AZ 85351","1000 N Jefferson Ave, Casa Grande, AZ 85122",NA,(623) 214-0801,"
jpham1099@yahoo.com",00000033ESLY55591549,9/1/2021,1/21/2023,All Greens Inc,"Cultivation - Cultivate
Retail - Cultivate
Retail - Sell"
